Civil or Criminal,Related Victims,Year,Victim Arts Area,State,Plaintiff,Defendant,Defendant Attorneys,Plaintiff Attorneys,Causes of Actions Plaintiff,Causes of Actions Defendant,,Investigators Involved,Plaintiff Arts Area,Defendant Arts Area,Related Issues,Awareness,Videos,Links,
Criminal,Many-National,1954,"Film, Hollywood",California,California,Confidential Magazine,,,"Conspiracy, Criminal Libel, Extortion",,,Strong-Arming investigators,,,,,,https://www.vanityfair.com/hollywood/2003/04/robert-harrison-confidential-magazine,
Criminal,Many- National,2008,"Film, Business",California,United States,Anthony Pellicano,,,"RICO, Conspiracy, Extortion, Blackmail, Wiretapping",,,Hollywood Fixers,,,,,,,
Criminal,"Drake Bell, Actors Nickelodeon",,"Film, Nickolodeon Shows",,California,Brian Peck,,,"Sexual Assault Minor, Sodomy Minor, 11 charges",,,,,,,,,,
Criminal,,,"Film, Digital Entertainment Network",,California,John Collins Rector,,,"Child Enticement, Sexual Abuse",,,,,Digitial Entertainment Network,,Open Secret Documentary,,,
Criminal,"Brittany Murphy, Julia Davis",2009,"Film, Actress, Stunts",California,,,,,Whistleblowing ,Testifying,,,,,"Strong-Arming, Fixers, Surviellance, Death","Brittany Murphy's Death, YouTube Videos",,,
Criminal,Amie Harwick,2020,"Playboy Model, Dancer",,California,Gareth Pursehouse,,,"Murder, Domestic Violence, Burglary",,,Hollywood Fixers,,,,,,https://www.foxla.com/news/amie-harwick-verdict-hollywood-sex-therapist,
Civil,"Amanda Rabb, Bam Margera",2022,"Producer, Writer, Director, 20 million",New Jersey California,"Lima Jeremovic, Autonomous User Rehabilitation Agent LLC","Brittany Jeream Courville, Prem Benipal, That Surprise Witness TV LLC","John Phillip Johnson Jr, Cozen O'Connor, Frank Gooch, Brandon Posivak","Neville Johnson, Adam M. Winokur, Sherri A. Affrunti, Rodney A. Smolla, Johnson & Johnson LLP, Law Offices of Sherri A. Affrunti LLC, Vahbiz P Karanjia, Elliot David Ostrove, Epstein Ostrove LLC, Benjamin F Kanani","Libel, Defamation","Anti-SLAPP, Dismissal",,,"AURA, Medical Services, Services Arts","Attorney, Arts Lawsuits, Videos Online",Conservatorship,#FreeBam,https://www.youtube.com/live/Q4AUjdsftwE?si=7vTnh9SqTI2ObLsM,https://storage.courtlistener.com/recap/gov.uscourts.njd.500062/gov.uscourts.njd.500062.1.0.pdf,https://unicourt.com/case/pc-db5-jevremovic-et-al-v-courville-1257879
Not Filed,Corey Haim,,"Film, Actor",California,,Dominick Brascia,,,Sexual Assault,,,,,,,,,https://thecinemaholic.com/who-is-dominick-brascia/,
